City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,lichuan,30.3,108.85,298.42,61,54,1.73,CN,1726457184
319,pitimbu,-7.4706,-34.8086,298.08,72,65,6.87,BR,1726457185
320,indiana,40.0003,-86.2503,293.46,56,2,3.65,US,1726457186
321,cambria,35.5641,-121.0808,287.07,90,91,1.79,US,1726457187
322,escalquens,43.5174,1.5589,283.99,68,60,4.28,FR,1726457188
323,prince albert,53.2001,-105.7677,285.12,82,20,2.06,CA,1726457189
324,kalininsk,51.5,44.4758,287.17,72,14,3.65,RU,1726457190
325,caleta de carquin,-11.0925,-77.6267,289.55,84,23,3.35,PE,1726457191
326,revda,56.801,59.9303,283.71,94,22,1.36,RU,1726457192
327,yermentau,51.6214,73.1069,278.91,71,2,7.14,KZ,1726457193
328,saint-philippe,-21.3585,55.7679,292.85,70,48,6.28,RE,1726457194
329,cestos city,5.46,-9.5828,297.78,87,100,4.21,LR,1726457195
330,kourou,5.1552,-52.6478,298.76,87,27,3.23,GF,1726457196
331,porto novo,6.4965,2.6036,299.05,92,100,3.34,BJ,1726457198
332,kulhudhuffushi,6.6221,73.07,301.03,78,6,4.87,MV,1726457199
333,mgandu,-5.95,34.1333,288.14,61,4,3.37,TZ,1726457200
334,veraval,20.9,70.3667,300.84,68,55,2.54,IN,1726457201
335,touros,-5.1989,-35.4608,298.2,76,5,7.32,BR,1726457202
336,mokhsogollokh,61.4681,128.9203,281.75,40,6,1.35,RU,1726457203
337,east london,-33.0153,27.9116,288.67,67,0,3.6,ZA,1726457204
338,prince rupert,54.3161,-130.3201,285.2,99,100,7.72,CA,1726457013
339,sunzha,43.3211,45.0522,284.86,86,1,1.85,RU,1726457206
340,kununurra,-15.7667,128.7333,308.14,24,22,5.66,AU,1726457124
341,totness,5.8833,-56.3167,300.13,79,10,4.33,SR,1726457208
342,volkhov,59.9258,32.3382,286.03,90,29,0.2,RU,1726456913
343,maumere,-8.6199,122.2111,301.85,57,84,0.72,ID,1726457210
344,coquimbo,-29.9533,-71.3436,285.36,82,0,3.09,CL,1726456946
345,balkanabat,39.5108,54.3671,293.15,38,0,1.48,TM,1726457212
346,haiku-pauwela,20.9219,-156.3051,302.13,62,20,10.73,US,1726457213
347,akureyri,65.6835,-18.0878,271.11,93,40,0.51,IS,1726457214
348,dudinka,69.4058,86.1778,279.36,68,94,7.88,RU,1726457215
349,westport,41.1415,-73.3579,291.34,81,0,0.45,US,1726457216
350,nuuk,64.1835,-51.7216,276.49,100,100,2.06,GL,1726457218
351,funafuti,-8.5243,179.1942,304.15,79,40,1.03,TV,1726457219
352,de aar,-30.6497,24.0123,283.11,81,0,4.51,ZA,1726457220
